model,R2_mean,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean_percent
Ridge,0.7607891631215004,52177.17730398623,16862169480.18454,64927.35233557832,38.452170461361945
GPR,0.9908243078937737,5657.301414906797,299944503.37901986,8659.4579475661,5.040525805867946
GradientBoosting,0.7110823068768173,58794.20634956239,22562137065.074024,75103.62559152493,35.21355808538596
RandomForest,0.5971507981169966,67191.74353470159,29227130248.56536,85480.08971004115,45.52960459936406
