target,feature,mean_abs_shap,rel_percent
uy_tip,len,0.00013084206098658318,33.58334998302411
uy_tip,height,0.00018495894609875477,47.47357976853267
uy_tip,thk,1.401233122287144e-05,3.5965577123093633
uy_tip,force,5.979061935798066e-05,15.346512279462965
uy_max,len,0.00013102573523644204,33.614900827476376
uy_max,height,0.00018486761243720164,47.428136518943134
uy_max,thk,1.3802033758729315e-05,3.5409379323835912
uy_max,force,6.0089302368313154e-05,15.416024464644993
sig_max,len,117079.16736230145,15.676406801045124
sig_max,height,358607.33210700174,48.01600956513962
sig_max,thk,76691.83580885037,10.268713414557588
sig_max,force,194471.17461397272,26.038870219257664
"среднее по uy_tip,uy_max,sig_max",len,,27.6248858705152
"среднее по uy_tip,uy_max,sig_max",height,,47.63924195087181
"среднее по uy_tip,uy_max,sig_max",thk,,5.802069686416847
"среднее по uy_tip,uy_max,sig_max",force,,18.933802321121874
