case_id,len,height,thk,force,uy_tip,uy_max,u_sum_max,sig_max,area,volume
0044,8.706982,1.272039,0.084887,1165.8259,-8.3860601e-05,8.3898211e-05,8.4387946e-05,454737.41,11.075621,0.94017621
0045,10.568404,1.200964,0.132146,1364.4403,-0.00013318671,0.00013321481,0.0001336907,463089.08,12.692273,1.6772331
0046,6.419868,0.88157,0.109485,806.309,-5.4046873e-05,5.4066938e-05,5.434671e-05,373529.93,5.659563,0.61963726
0047,11.544696,0.808389,0.091807,1238.8962,-0.00074032305,0.00074035978,0.00074137479,1451502.1,9.3326053,0.85679849
0048,7.322269,1.151305,0.078152,563.73681,-3.5409673e-05,3.5429422e-05,3.5667871e-05,245520.83,8.4301649,0.65883425
0049,13.993391,1.327103,0.093125,1353.0394,-0.00032167818,0.00032171783,0.00032252254,705333.61,18.570671,1.7293938
0050,7.704885,0.639681,0.13428,1778.1418,-0.00043642741,0.00043646353,0.00043730252,1521126.5,4.9286685,0.66182161
0051,8.475416,1.31962,0.087058,966.86642,-5.6115876e-05,5.6146185e-05,5.651697e-05,332754.27,11.184328,0.97368527
0052,10.672045,0.737336,0.138023,1291.7427,-0.00053443779,0.00053446325,0.00053517672,1118307.0,7.868883,1.0860868
0053,11.159254,0.891295,0.092657,1594.7406,-0.00063691533,0.0006369623,0.00063809625,1474520.0,9.9461873,0.92158388
0054,11.664491,1.03569,0.063879,831.05615,-0.0003507165,0.00035075194,0.00035152208,863476.87,12.080797,0.77170921
0055,10.802735,1.094618,0.105884,1993.9332,-0.00034211847,0.00034216989,0.00034314523,1038284.5,11.824868,1.2520643
0056,9.945907,0.784455,0.069854,594.17463,-0.0003268466,0.00032686981,0.00032743738,838374.84,7.8021165,0.54500904
0057,12.837346,1.118708,0.064402,516.59708,-0.0002286592,0.00022868102,0.00022916489,501958.9,14.361242,0.92489269
0058,12.090977,0.862526,0.086375,1285.8785,-0.00077262015,0.00077266075,0.0007737599,1473996.1,10.428782,0.90078605
0059,6.154506,0.96587,0.103837,641.89015,-3.0514615e-05,3.0531529e-05,3.0736266e-05,251233.43,5.9444527,0.61725414
0060,7.571908,1.371617,0.082184,589.32674,-2.3145303e-05,2.3164964e-05,2.3369623e-05,178417.93,10.385758,0.85354311
0061,6.730796,0.620832,0.10226,1116.3242,-0.0002626519,0.00026268171,0.00026330362,1164617.4,4.1786935,0.4273132
0062,6.545666,1.180821,0.062818,1342.9387,-6.9846084e-05,6.990462e-05,7.0517351e-05,620175.48,7.7292599,0.48553665
0063,11.949714,1.133063,0.100779,1398.8744,-0.00030749548,0.00030753335,0.00030830228,789384.18,13.539779,1.3645254
0064,8.671543,1.239114,0.06701,679.61597,-6.6110885e-05,6.6138455e-05,6.6508259e-05,351770.16,10.74503,0.72002448
0065,7.465848,1.353651,0.131653,915.37714,-2.2381493e-05,2.2400562e-05,2.2598816e-05,175147.38,10.106153,1.3305053
0066,7.940484,0.743137,0.066444,1638.1205,-0.00056794211,0.00056800944,0.00056939343,2165865.8,5.9008675,0.39207724
0067,9.518716,1.304327,0.071045,1804.9907,-0.0001876248,0.00018769397,0.00018866119,872637.78,12.415518,0.8820605
0068,11.085132,1.284168,0.13033,1552.3157,-0.00014506318,0.0001450956,0.00014563391,490196.38,14.235172,1.8552699
0069,10.217426,0.851089,0.124498,528.1943,-0.00013845932,0.00013847091,0.00013873883,365172.27,8.6959389,1.082627
