model,R2_mean,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean_percent
Ridge,0.5383562169491631,680779.8460438189,7851895997747.347,1401062.0042328497,1019.398794223878
GPR,0.8344962756188654,237147.0401420612,662884710574.8008,407088.6805925959,238.083970412509
GradientBoosting,-0.5944122085172627,241098.6967437356,845328566041.6945,459708.9202660497,85.83787933524236
RandomForest,0.5402060191833598,352043.63232231274,1661507904555.248,644498.0521225977,134.29019923618276
