case_id,len,height,thk,force,f0,uy_amp,area
0143,9.832571,0.825743,0.106954,1003.904,9.0,0.0004768294228,8.119176675
0144,9.570961,1.159083,0.092227,1365.035,9.0,0.0005775338584,11.09353819
0145,11.781048,1.106807,0.114616,1057.963,9.0,0.0002380222196,13.03934639
0146,10.171256,1.187472,0.106052,1888.373,9.0,0.00170827481,12.0780817
0147,9.706276,1.054633,0.085318,1431.485,9.0,0.002800137778,10.23655898
0148,9.879592,1.084835,0.09912,1625.581,9.0,0.002974039233,10.71772719
0149,10.189056,1.005604,0.081499,1236.257,9.0,0.00113417121,10.24615547
0150,9.498784,1.141043,0.103101,1907.463,9.0,0.0007409610729,10.83852099
0151,9.475991,1.171964,0.082472,1508.661,9.0,0.0005796736006,11.10552032
0152,11.855099,1.040586,0.091115,1606.776,9.0,0.0004101806699,12.33625005
0153,11.186256,0.970624,0.084314,899.853,9.0,0.0003106688238,10.85764854
0154,11.288961,0.877434,0.097378,1664.514,9.0,0.0004388968773,9.905318206
0155,11.07707,0.862453,0.111363,537.83,9.0,0.0001328502309,9.553452253
0156,9.454967,0.837324,0.097445,1246.975,9.0,0.001000643866,7.916870788
0157,11.449063,0.978968,0.085884,1895.095,9.0,0.0005749881924,11.20826631
0158,9.512825,0.987883,0.111753,1523.282,9.0,0.003635190145,9.397558099
0159,10.079011,0.869031,0.118651,1970.773,9.0,0.0007853387032,8.758973008
0160,9.156478,0.871161,0.082665,1028.891,9.0,0.002588259142,7.976766531
0161,8.296327,1.097216,0.113501,892.385,9.0,0.0001196132497,9.102862726
0162,8.832076,0.881831,0.102949,1774.003,9.0,0.00313177097,7.788398411
0163,8.480504,1.059366,0.080701,1449.094,9.0,0.0003776709304,8.9839576
0164,10.979048,0.904101,0.081123,1269.828,9.0,0.0004650991342,9.926168276
0165,8.160236,0.907253,0.113695,769.086,9.0,0.0002483969782,7.403398592
0166,8.945055,0.984359,0.08679,1766.035,9.0,0.001231516252,8.805145395
0167,8.895281,1.057466,0.088319,700.128,9.0,0.0002562258074,9.406457218
0168,10.718464,0.977007,0.108237,561.505,9.0,0.0002005487635,10.47201436
