case_id,len,height,thk,force,sy,epl_max,uy_tip,sig_max,area
0051,11.432691,1.068328,0.117267,260768.872,250000000.0,0.0,-0.05198786089,122045687.9,12.21386391
0052,11.494846,1.045132,0.087622,574452.731,250000000.0,0.003134977538,-0.2400595465,281518387.5,12.01363139
0053,9.673896,1.149181,0.114931,238407.681,250000000.0,0.0,-0.02369016858,83494241.26,11.11705748
0054,11.871804,1.18524,0.109601,333804.394,250000000.0,0.0,-0.05843256317,141128025.1,14.07093697
0055,9.564651,1.08334,0.106833,447931.502,250000000.0,0.0,-0.05519145029,187572531.9,10.36176901
0056,8.072877,0.808128,0.094047,500259.352,250000000.0,0.002072145435,-0.1286932941,270660267.6,6.523917944
0057,9.735652,1.124059,0.096361,669562.734,250000000.0,0.0004605716422,-0.08854108595,253656573.4,10.94344725
0058,8.25365,1.089174,0.113827,799051.297,250000000.0,0.0002324090901,-0.05894357135,250754146.5,8.989660985
0059,10.690502,0.956735,0.108468,437698.553,250000000.0,0.0001441086788,-0.1076016974,248732902.2,10.22797743
0060,10.473049,1.158204,0.09716,390183.623,250000000.0,0.0,-0.05677213914,172092821.4,12.12992724
0061,10.719783,1.162082,0.104757,359931.909,250000000.0,0.0,-0.05155045798,149656648.3,12.45726687
0062,10.586278,1.093262,0.087188,202987.838,250000000.0,0.0,-0.04037534811,113109542.6,11.57357546
0063,11.610255,1.046632,0.096547,631903.572,250000000.0,0.00328380533,-0.2499417189,283096991.9,12.15166441
0064,9.499591,1.091063,0.089275,692745.916,250000000.0,0.001271420493,-0.1118619682,262390509.1,10.36465226
0065,11.214789,1.009554,0.10454,729101.833,250000000.0,0.006571604637,-0.3746707927,317415758.6,11.32193509
0066,10.420721,1.165032,0.100257,530056.932,250000000.0,0.0,-0.07235336321,222840681.6,12.14047343
0067,10.617131,1.110979,0.115031,734854.886,250000000.0,0.0005488625611,-0.1103086317,254750647.6,11.79540958
0068,8.748778,1.154953,0.102147,603353.192,250000000.0,0.0,-0.04925913064,213082402.4,10.1044274
0069,10.801682,0.969451,0.094567,727442.442,250000000.0,0.01251063752,-0.6604023003,382396426.1,10.47170142
0070,9.587589,1.168604,0.091804,194787.369,250000000.0,0.0,-0.02244284113,81862349.06,11.20409486
0071,10.113125,1.019009,0.104872,257324.113,250000000.0,0.0,-0.04579775873,131051130.5,10.30536539
0072,10.388558,1.042837,0.115758,684290.055,250000000.0,0.0006483826655,-0.1171527645,255966151.9,10.83357266
0073,8.413286,1.153123,0.086957,582929.437,250000000.0,3.972036211e-05,-0.05002951301,230782499.3,9.701553592
0074,9.15268,1.140404,0.08529,700437.48,250000000.0,0.0007839847531,-0.08669855746,257233963.8,10.43775288
0075,8.566119,0.960962,0.109021,234399.823,250000000.0,0.0,-0.02912475774,109468504.4,8.231714846
0076,10.33156,1.150645,0.105263,708867.43,250000000.0,0.0003984629584,-0.09500614159,253079958.2,11.88795786
0077,10.08286,1.056561,0.092813,206577.718,250000000.0,0.0,-0.03695488741,110275575.6,10.65315664
0078,11.398306,1.192723,0.109585,788034.797,250000000.0,0.0007503469387,-0.1275411705,257104425.8,13.59502173
0079,10.622393,0.944203,0.11248,299807.017,250000000.0,0.0,-0.07236036705,173943067.3,10.02969534
0080,11.139558,1.123716,0.088978,747019.117,250000000.0,0.005261009093,-0.2829689337,303100889.6,12.51769956
0081,9.296331,1.0536,0.103481,209414.498,250000000.0,0.0,-0.02658962742,93034617.14,9.794614342
0082,8.642068,0.897662,0.105414,268692.185,250000000.0,0.0,-0.04344561102,149939129.4,7.757656045
0083,10.042128,1.119427,0.110511,543983.177,250000000.0,0.0,-0.06795367317,216525325.3,11.24142922
0084,8.143086,1.137402,0.104118,641120.838,250000000.0,0.0,-0.04341508378,213355419.7,9.261962303
0085,8.487236,0.991872,0.092047,457871.479,250000000.0,4.842806811e-05,-0.05967843909,232419677.5,8.418251746
0086,11.892382,0.995701,0.086434,591968.545,250000000.0,0.009301029262,-0.5766345662,347251801.8,11.84125665
0087,9.818625,0.857158,0.088366,288173.936,250000000.0,6.002361079e-05,-0.09348579429,234602438.8,8.416112968
0088,11.525665,0.946198,0.118009,214297.669,250000000.0,0.0,-0.06253014502,127942656.3,10.90556117
0089,8.332694,1.160866,0.081549,531791.048,250000000.0,0.0,-0.04633681608,222041286.5,9.673141153
0090,9.545329,0.959371,0.095107,566562.232,250000000.0,0.001243805556,-0.1276580882,262313624.8,9.157511828
0091,10.898191,0.937182,0.109996,381964.246,250000000.0,4.760409502e-05,-0.104119271,232686184.8,10.21358844
0092,11.054648,0.901944,0.099602,361717.584,250000000.0,0.0002368433197,-0.1282187379,251054769.9,9.970673436
0093,11.838376,0.855805,0.111197,548605.833,250000000.0,0.008112174924,-0.585174926,334214882.9,10.13134137
0094,11.786615,0.971918,0.114004,534490.29,250000000.0,0.0008206177299,-0.1715550504,258061880.5,11.45562328
0095,10.943832,1.103564,0.100156,465646.245,250000000.0,1.852996456e-05,-0.08659402213,227880207.5,12.07721902
0096,10.061809,1.146651,0.101001,713971.012,250000000.0,0.0004983321196,-0.09400795522,254061872.2,11.53738335
0097,8.865119,0.868965,0.086718,280121.591,250000000.0,0.0,-0.06546713943,207888557.3,7.703478132
0098,9.269078,1.180301,0.113361,152266.446,250000000.0,0.0,-0.01247171244,49147107.81,10.94030203
0099,10.225415,1.051773,0.098632,622545.296,250000000.0,0.000820441026,-0.1189553649,257850253.4,10.75481541
0100,9.34231,0.821665,0.10897,581292.571,250000000.0,0.005181484215,-0.2686533315,302536240.6,7.676249146
0101,9.38636,1.077814,0.094956,608438.853,250000000.0,0.0003654255779,-0.0822173908,252570165.3,10.11675022
0102,11.379952,0.982837,0.103656,336612.122,250000000.0,0.0,-0.09608042911,209421883.4,11.18463788
0103,11.232438,0.877108,0.093736,176615.782,250000000.0,0.0,-0.07535907583,150473011.3,9.852061229
0104,10.451449,0.891787,0.108169,442785.054,250000000.0,0.0004577758409,-0.1289548414,253864581.8,9.320466349
0105,8.785625,1.138994,0.117452,341114.173,250000000.0,0.0,-0.0255630182,108172141.9,10.00677416
0106,9.082621,1.035017,0.105667,578985.26,250000000.0,0.0001356977155,-0.07095449841,246177227.9,9.40066714
0107,11.455039,1.07898,0.116007,662923.395,250000000.0,0.0006272800747,-0.1366569185,255766911.9,12.35975798
0108,11.151109,0.967721,0.083612,517846.483,250000000.0,0.005153985112,-0.3237178974,302374643.2,10.79116235
0109,9.795278,1.121602,0.107168,273162.523,250000000.0,0.0,-0.03248086203,108968604.7,10.9864034
0110,8.115162,1.198331,0.093411,522568.327,250000000.0,0.0,-0.03343507588,174237109.9,9.724650195
0111,8.340616,0.985797,0.091205,785711.129,250000000.0,0.005167927069,-0.179178663,302143538.8,8.222154231
0112,9.833157,0.870981,0.080352,303533.154,250000000.0,0.0002215220557,-0.1042111716,250881172.2,8.564492917
0113,11.345927,0.923735,0.085053,364999.244,250000000.0,0.0006846625765,-0.1601784156,256604754.7,10.48062988
0114,11.905085,0.931649,0.113719,377016.178,250000000.0,0.0001058482339,-0.1318518782,242486824.5,11.09136054
0115,8.313368,1.013603,0.113038,670762.239,250000000.0,0.0001872048283,-0.0629559254,250370668.2,8.426454745
0116,8.385872,1.085079,0.097523,758798.094,250000000.0,0.0005974621454,-0.07159581332,255079119.2,9.099333604
0117,10.006039,0.97419,0.090226,571938.314,250000000.0,0.002382643492,-0.1731706488,273708691.2,9.747783133
0118,9.431425,0.91385,0.11201,357174.546,250000000.0,0.0,-0.06689587554,197355753.9,8.618907736
0119,11.00955,0.986629,0.092321,483612.906,250000000.0,0.0009031500522,-0.1510382463,258864469.9,10.86234131
0120,11.68414,1.182019,0.082828,697275.2,250000000.0,0.003657708527,-0.2375632355,286024385.1,13.81087548
0121,11.253546,0.940363,0.087565,317952.391,250000000.0,0.000123841779,-0.1187410121,245553293.1,10.58241828
0122,10.217023,0.907608,0.119606,279248.104,250000000.0,0.0,-0.06350011597,158598963.6,9.273051811
0123,11.160739,0.810709,0.10877,201236.246,250000000.0,0.0,-0.09187828042,171763330.1,9.048111554
0124,8.541928,0.899749,0.116463,306582.622,250000000.0,0.0,-0.04303453761,152349567.2,7.685591176
0125,10.549883,1.195201,0.116879,401604.89,250000000.0,0.0,-0.04519989073,139301939.1,12.60923071
0126,11.273432,0.921594,0.096626,541030.383,250000000.0,0.005425203708,-0.3597183303,305728093.3,10.38952729
0127,11.039264,0.91957,0.080474,195872.223,250000000.0,0.0,-0.08023721439,173927769.1,10.151376
0128,8.72947,0.807646,0.114284,165052.909,250000000.0,0.0,-0.03478361562,105877642.2,7.050321528
0129,9.247484,1.107969,0.110825,711915.24,250000000.0,0.0002060389697,-0.07184795157,250559297.5,10.2459256
0130,10.299601,0.932331,0.115931,680881.102,250000000.0,0.003364303557,-0.2235977492,283919602.7,9.6026373
0131,9.189348,1.142687,0.102957,497260.579,250000000.0,0.0,-0.04813137998,186841095.9,10.5005485
0132,10.869651,1.067282,0.115358,721591.522,250000000.0,0.0009594901203,-0.1381865182,259370937.4,11.60098286
0133,8.59517,0.804901,0.102408,557886.807,250000000.0,0.004488676263,-0.211480287,294850955.5,6.918260928
0134,9.361068,0.8613,0.119945,433306.697,250000000.0,0.0001111690435,-0.08854581131,242809525.0,8.062687868
0135,10.488628,1.128598,0.084163,285876.817,250000000.0,0.0,-0.05210715439,153474617.6,11.83744458
0136,10.173962,1.133435,0.10084,516873.474,250000000.0,0.0,-0.0708874106,222806720.0,11.53152462
0137,8.208743,1.026346,0.118955,775849.939,250000000.0,0.0003251403905,-0.06468611647,251894595.3,8.425010543
0138,8.671621,1.072896,0.111955,538088.385,250000000.0,0.0,-0.0486192922,198968181.4,9.303747484
0139,8.182598,0.988876,0.101608,421746.734,250000000.0,0.0,-0.04503550846,190863893.8,8.09157478
0140,9.042437,1.054232,0.083911,354319.345,250000000.0,0.0,-0.05099149818,188654172.3,9.532826443
0141,10.655442,1.116745,0.080966,674922.545,250000000.0,0.003996401792,-0.2195238191,289362663.8,11.89941158
0142,8.166517,0.84218,0.099527,223763.041,250000000.0,0.0,-0.03915409036,141981829.0,6.877677287
0143,11.326839,1.101523,0.087945,395421.224,250000000.0,2.237618446e-05,-0.09332339604,228564100.5,12.47677368
0144,8.042562,0.910977,0.10333,257006.64,250000000.0,0.0,-0.03273647405,132318922.8,7.326589003
0145,10.132119,0.839324,0.080172,663855.167,250000000.0,0.02843952319,-1.762826194,556231599.4,8.504130648
0146,10.966151,1.015602,0.117737,368317.585,250000000.0,0.0,-0.07511821694,182204821.0,11.13724489
0147,10.274192,0.818951,0.11161,607072.163,250000000.0,0.009909330518,-0.5559640223,353906472.1,8.414059813
0148,11.591243,1.02342,0.097693,749353.981,250000000.0,0.01069116988,-0.6114562198,362482007.7,11.86270991
0149,11.842213,1.074868,0.105803,349590.858,250000000.0,0.0,-0.08426554735,185521070.5,12.7288158
0150,9.23212,1.166769,0.09421,619106.92,250000000.0,9.075377966e-05,-0.06247081399,238898703.4,10.77175142
0151,11.649102,0.872534,0.089839,599256.77,250000000.0,0.01964702643,-1.426211009,460362082.5,10.16423756
0152,8.93544,0.82428,0.110181,324651.698,250000000.0,0.0,-0.07159261446,212310809.2,7.365304483
0153,11.939693,1.191838,0.107279,765747.501,250000000.0,0.0009951549582,-0.1508554831,259746509.7,14.23017983
0154,9.94237,1.060745,0.107917,679410.813,250000000.0,0.0005956528839,-0.103180673,255273911.3,10.54631927
