case_id,len,height,thk,force,uy_tip,uy_max,u_sum_max,sig_max,area,volume
0044,13.571249,0.866967,0.07146,1338.1281,-0.0013521689,0.0013522198,0.0013537644,2056704.7,11.765825,0.84078586
0045,7.218199,1.08936,0.068513,957.2591,-7.7436808e-05,7.7474864e-05,7.7956522e-05,522647.17,7.8632173,0.5387326
0046,12.013333,0.440768,0.08778,1256.3005,-0.0054475951,0.005447634,0.0054496938,5366646.8,5.2950928,0.46480324
0047,7.968604,0.428757,0.107478,1495.6105,-0.0016807583,0.0016807962,0.0016821603,3665619.9,3.4165947,0.36720877
0048,12.740389,0.756389,0.030481,1525.1428,-0.0045007074,0.0045008438,0.0045052875,6777631.4,9.6366901,0.29373595
0049,11.393021,0.229167,0.119072,1573.5197,-0.030439159,0.030439182,0.030442639,17320724.0,2.6109044,0.31088561
0050,8.506824,0.687833,0.112273,1388.4508,-0.00044113315,0.00044116689,0.00044197162,1356216.9,5.8512743,0.65694012
0051,6.723546,0.572694,0.03641,1023.7244,-0.00085825036,0.00085832699,0.00086006281,3516752.3,3.8505345,0.14019796
0052,6.253883,1.373562,0.094732,1482.7807,-2.8633983e-05,2.8676878e-05,2.9041572e-05,322279.55,8.590096,0.81375698
0053,7.960486,0.577107,0.028046,713.99771,-0.0012587327,0.0012588019,0.001260651,3705768.0,4.5940522,0.12884479
0054,11.002471,1.175973,0.08084,1451.3865,-0.00027813384,0.00027818289,0.00027906379,874247.3,12.938609,1.0459571
0055,10.732928,0.308427,0.058708,1676.6465,-0.022538221,0.022538269,0.022543487,19472700.0,3.3103248,0.19434255
0056,12.308141,0.893424,0.046521,1329.5658,-0.0014077917,0.0014078695,0.0014099426,2684118.5,10.996389,0.51156299
0057,8.255361,0.618268,0.072149,1750.3088,-0.0010883931,0.0010884593,0.0010901648,3193256.5,5.1040255,0.36825034
0058,12.258878,1.258348,0.039743,1644.3492,-0.00072310896,0.00072322178,0.00072533659,1958718.7,15.425935,0.61307292
0059,11.440454,1.144823,0.102786,570.21736,-0.00010459673,0.00010461182,0.00010490274,295858.75,13.097295,1.3462186
0060,6.007908,0.46453,0.027774,1040.0774,-0.0015269346,0.0015270366,0.0015295856,6354212.0,2.7908535,0.077513165
0061,9.520879,0.630272,0.129565,1168.7279,-0.00058549267,0.00058551722,0.00058623516,1315749.0,6.0007434,0.77748632
0062,13.690848,1.073983,0.049286,703.49669,-0.00055739343,0.00055743232,0.00055838988,1032793.1,14.703738,0.72468843
0063,8.891729,0.243447,0.122295,1343.457,-0.010026098,0.010026117,0.010028224,9961219.2,2.1646647,0.26472768
0064,8.858556,0.845689,0.115777,1770.0917,-0.00033181773,0.00033185932,0.00033270029,1156463.7,7.4915834,0.86735305
0065,9.93029,0.414471,0.038267,616.43002,-0.004165596,0.0041656398,0.0041676771,5649733.7,4.1158172,0.15749998
0066,11.809284,0.218462,0.13164,950.30219,-0.021379938,0.02137995,0.021382005,10791481.0,2.5798798,0.33961538
0067,12.96592,0.777318,0.079986,583.81797,-0.00063764665,0.00063766655,0.00063830846,952799.47,10.078643,0.80615034
0068,9.316346,1.133525,0.095349,1377.3342,-0.00015202262,0.00015206207,0.00015268321,642151.9,10.560311,1.0069151
0069,11.309806,1.289165,0.117574,1132.7798,-0.00012315362,0.00012317986,0.00012362257,401414.71,14.580206,1.7142531
0070,9.289946,0.614203,0.097125,835.1784,-0.00056025539,0.00056027878,0.00056096404,1288624.2,5.7059127,0.55418677
0071,8.75606,1.216422,0.130813,870.18131,-4.717173e-05,4.7189924e-05,4.74397e-05,241934.59,10.651064,1.3932976
