target,feature,mean_abs_shap,rel_percent
uy_tip,len,0.0012824546025844395,18.373329908902434
uy_tip,height,0.004610409075687053,66.05190296162455
uy_tip,thk,0.0008147585636499492,11.672793606788396
uy_tip,force,0.0002723569385499107,3.9019735083579277
uy_max,len,0.0012893922093831648,18.47156192927144
uy_max,height,0.004608739358584524,66.02383189416864
uy_max,thk,0.0007962763060398915,11.407287086730399
uy_max,force,0.0002860099928495811,4.097319075503713
sig_max,len,406746.6755606059,7.355356649158924
sig_max,height,3376379.493836586,61.05636960854374
sig_max,thk,1272899.176887862,23.01832562374812
sig_max,force,473912.8329481294,8.569948118549224
"среднее по uy_tip,uy_max,sig_max",len,,14.733416162444266
"среднее по uy_tip,uy_max,sig_max",height,,64.37736815477898
"среднее по uy_tip,uy_max,sig_max",thk,,15.366135439088971
"среднее по uy_tip,uy_max,sig_max",force,,5.523080234136955
