model,R2_mean,MAE_mean,MSE_mean,RMSE_mean,MAPE_mean_percent
Ridge,0.41569911871651316,873714.4737023789,18834236492994.797,2169921.6327644456,703.3193803756315
GPR,0.9353740615329373,180746.57303279516,2324088388951.6,762248.0602624353,16.726496618353323
GradientBoosting,0.6760959980350519,423802.75498776184,8769966825616.2,1480706.64261861,39.2884237187202
RandomForest,0.6783562530195953,482095.93842929776,11212880074732.06,1674282.2648959144,40.69001506510118
