a,b,lx,ly,smax,area
8.1608934984243,17.51981595125175,139.4914457936377,107.64606626714351,196.46534,14903.411
14.18741737991991,20.333642869530614,117.90270164352255,105.88974625399807,252.43598,12258.114
11.12346318591716,22.055815210824733,109.9322692188147,114.1966983272634,208.86356,12361.215
15.529042233658345,23.467861939793522,111.63601446685166,111.07412721415665,248.31694,12113.648
11.734796286150273,16.63903868467593,121.00368403618694,134.26217407972342,245.11482,16092.864
15.404548130801217,21.954576473413436,136.99899175389086,138.69914031829956,248.66563,18736.02
10.897227729726978,24.559864559611142,125.27103753903594,127.48775621808797,195.01539,15760.324
12.056914680095115,18.621888473026015,100.96134476225464,122.15865325989304,237.12973,12156.962
8.649017084602715,20.8978764447348,126.22500644868248,123.49344190407976,186.59646,15446.003
15.058351651881885,19.08207188410728,104.69779358271231,116.32587687246777,270.60196,11953.383
9.25296583252479,20.19629494894078,132.68200581549053,119.79580797910293,195.79106,15747.976
12.298746532379509,23.87008062364805,107.21239181870483,128.67558854921003,211.3723,13565.047
11.569987212904724,19.838177583954813,127.09753556412707,132.6275841483912,221.63783,16676.369
10.446037006952803,24.308280002866628,113.41319771249007,124.85354432463578,192.44164,13960.607
15.808140164346703,24.85014893250005,131.98862371415626,115.52308452109028,241.15987,14939.201
13.371148292834022,18.915418675141773,115.11688186392983,138.30705106903252,247.82187,15722.833
8.39578348924117,21.438702076998602,118.89697165728819,109.96739486148212,183.14451,12933.423
12.68685060670656,19.48438497149587,137.9578026535007,131.34005415268143,235.77075,17925.238
13.860510121450544,22.47305008934231,133.81837987347186,135.93258948670956,230.84845,17945.637
13.984400604317733,15.313259460364815,129.65925943971527,100.10726876263733,293.55793,12811.644
9.867955709664846,17.882898683152245,105.77149876221468,113.28332707313781,216.05508,11843.55
9.063986247186726,17.02597001314642,123.20634155453021,105.04340436089251,211.1124,12820.808
13.051001090754394,23.151077636244537,116.74246194087746,118.65329331127178,222.59612,13614.574
14.677455038670889,15.733590387631391,135.95445089452414,102.3447089607925,297.76706,13732.847
9.61998087204341,15.440694398549415,121.82462886119254,120.002456157261,227.63226,14502.592
10.302978323807416,16.21953692832903,128.93583879797524,136.0832377553833,229.53479,17414.759
9.334060223802235,16.928992787397277,102.3820019386638,103.8003464752177,216.14541,10503.182
11.429391329333928,18.114636779981467,108.6198247419274,130.23200179340904,231.69086,13983.169
14.465194139201923,21.140168131442046,112.63491503604558,125.58051949908528,247.11585,13904.579
13.074115118790807,22.83600592898012,102.73966763051307,108.38151915168157,227.09229,10900.592
