dataset,model,subset,target,R2,MAE,MSE,RMSE,MAPE_percent
GPR_30,Ridge,train,smax,0.9756217197713297,3.639189263337736,25.93273043367439,5.0924189177319645,1.5647976515747952
GPR_30,Ridge,train,area,0.9952446800271545,113.77286762598276,20405.943550381755,142.8493736436452,0.7724177948719948
GPR_30,Ridge,train,mean_over_outputs,0.985433199899242,58.70602844466025,10215.938140407714,73.97089628068859,1.1686077232233951
GPR_30,Ridge,test,smax,0.9641220841208642,6.606783448146563,73.52551976614137,8.57470231355826,2.5162471594548657
GPR_30,Ridge,test,area,0.9750367307985925,116.3046769934017,25777.801972463985,160.55466973110433,0.8530060966851176
GPR_30,Ridge,test,mean_over_outputs,0.9695794074597284,61.45573022077413,12925.663746115064,84.56468602233129,1.6846266280699917
GPR_30,GPR_sklearn,train,smax,1.0,1.3702790605899887e-08,2.757849235140107e-16,1.660677342273359e-08,6.010902286800393e-09
GPR_30,GPR_sklearn,train,area,1.0,8.777437111954592e-07,1.4279786549578932e-12,1.19498060861166e-06,6.26335834535987e-09
GPR_30,GPR_sklearn,train,mean_over_outputs,1.0,4.4572325090067955e-07,7.141272199407036e-13,6.057936910171969e-07,6.137130316080131e-09
GPR_30,GPR_sklearn,test,smax,0.9875876255615763,3.5136118722980902,25.43699263891179,5.043509952296296,1.2567911321363308
GPR_30,GPR_sklearn,test,area,0.9845317779322332,106.04154279318966,15972.938564733655,126.38409142266939,0.7691020997981377
GPR_30,GPR_sklearn,test,mean_over_outputs,0.9860597017469048,54.777577332743874,7999.187778686283,65.71380068748284,1.0129466159672342
GPR_30,GradientBoosting,train,smax,0.9999999922489969,0.002221118062600169,8.245236011037624e-06,0.0028714518994817978,0.0009733295422684543
GPR_30,GradientBoosting,train,area,0.9999999960900261,0.09851903655332232,0.01677840945345113,0.12953149985023385,0.0007151474251716755
GPR_30,GradientBoosting,train,mean_over_outputs,0.9999999941695115,0.050370077307961246,0.008393327344731083,0.06620147587485782,0.0008442384837200648
GPR_30,GradientBoosting,test,smax,0.9725463620254121,5.123810434592907,56.26143414665012,7.500762237709586,1.9630784815141096
GPR_30,GradientBoosting,test,area,0.7417142655300315,451.8411866833961,266713.40447283536,516.4430311978615,3.278491374143333
GPR_30,GradientBoosting,test,mean_over_outputs,0.8571303137777218,228.48249855899448,133384.83295349102,261.97189671778557,2.6207849278287214
GPR_30,RandomForest,train,smax,0.9710288882143738,4.3038624027778285,30.818418085821975,5.551433876560359,1.84862227868357
GPR_30,RandomForest,train,area,0.9742506858560637,253.4831894444378,110494.99379277363,332.4078726395836,1.817209332612221
GPR_30,RandomForest,train,mean_over_outputs,0.9726397870352188,128.89352592360783,55262.90610542973,168.97965325807198,1.8329158056478954
GPR_30,RandomForest,test,smax,0.921673194024879,8.77483434444442,160.51710306538573,12.669534445487164,3.237011507632412
GPR_30,RandomForest,test,area,0.6080497821677077,508.93667666664925,404739.2597831416,636.1912132237773,3.744656031796709
GPR_30,RandomForest,test,mean_over_outputs,0.7648614880962934,258.8557555055468,202449.8884431035,324.43037383463223,3.4908337697145604
GPR_100,Ridge,train,smax,0.9856476804787794,2.9586762325438523,14.626156207407712,3.824415799492481,1.3026223112032955
GPR_100,Ridge,train,area,0.9954503425065421,101.57747667121717,17652.38609857604,132.86228245283175,0.7206233626595735
GPR_100,Ridge,train,mean_over_outputs,0.9905490114926607,52.26807645188051,8833.506127391724,68.34334912616211,1.0116228369314344
GPR_100,Ridge,test,smax,0.9838020593589719,3.1272576961331082,13.461750838491076,3.6690258705126455,1.420120801078232
GPR_100,Ridge,test,area,0.9943844182806184,125.94254562899678,26133.734502799147,161.65931616457848,0.8406807247387938
GPR_100,Ridge,test,mean_over_outputs,0.9890932388197952,64.53490166256495,13073.598126818819,82.66417101754557,1.1304007629085129
GPR_100,GPR_sklearn,train,smax,1.0,3.9952560726419505e-08,3.108124315833596e-15,5.575055439933845e-08,1.643707156360329e-08
GPR_100,GPR_sklearn,train,area,1.0,2.5557222670613556e-06,1.2806467018755409e-11,3.5786124432180986e-06,1.7812961183930355e-08
GPR_100,GPR_sklearn,train,mean_over_outputs,1.0,1.2978374138938876e-06,6.404787571535621e-12,1.8171814988087184e-06,1.7125016373766822e-08
GPR_100,GPR_sklearn,test,smax,0.9987372122652934,0.5613559667465438,1.049475005697015,1.0244388735776357,0.24951497768254233
GPR_100,GPR_sklearn,test,area,0.9998546786569371,14.506750019533047,676.2949213414993,26.00567094580525,0.09715688772008203
GPR_100,GPR_sklearn,test,mean_over_outputs,0.9992959454611152,7.534052993139795,338.67219817359813,13.515054909691443,0.17333593270131217
GPR_100,GradientBoosting,train,smax,0.9999495028567922,0.1843709399281977,0.05146060910175174,0.22684930923798677,0.08212762629719293
GPR_100,GradientBoosting,train,area,0.9999143675114233,13.858188766728517,332.24869193166523,18.22769025224165,0.0989668504911351
GPR_100,GradientBoosting,train,mean_over_outputs,0.9999319351841077,7.021279853328357,166.1500762703835,9.22726978073982,0.09054723839416401
GPR_100,GradientBoosting,test,smax,0.9731387804949689,3.81331416813599,22.32376647182201,4.724803326258354,1.67105277986898
GPR_100,GradientBoosting,test,area,0.9793715085126227,259.2869239887115,96000.65436920327,309.83972367855495,1.8481758053666946
GPR_100,GradientBoosting,test,mean_over_outputs,0.9762551445037958,131.55011907842376,48011.489067837545,157.28226350240666,1.7596142926178373
GPR_100,RandomForest,train,smax,0.9919371279079993,2.1376539358333075,8.216708562235338,2.866480169517197,0.914624140521673
GPR_100,RandomForest,train,area,0.9908759956073747,146.19590195833297,35400.565544839534,188.1503801347197,1.0263808070013247
GPR_100,RandomForest,train,mean_over_outputs,0.991406561757687,74.16677794708313,17704.391126700884,95.50843015211845,0.9705024737614989
GPR_100,RandomForest,test,smax,0.9820751416796316,3.1724540150001017,14.896953993821919,3.8596572378673626,1.4092224643855722
GPR_100,RandomForest,test,area,0.9590849031140377,312.135462666668,190410.2428931958,436.36022148357637,2.2150601977220123
GPR_100,RandomForest,test,mean_over_outputs,0.9705800223968346,157.65395834083404,95212.56992359481,220.10993936072185,1.8121413310537924
NN_30,Ridge,train,smax,0.9708637996726283,2.597719097046054,17.138837711291142,4.139907935122609,1.128980272133961
NN_30,Ridge,train,area,0.9959925277659958,104.32473525355765,18785.168359750216,137.058995909609,0.7217445980273505
NN_30,Ridge,train,mean_over_outputs,0.9834281637193121,53.46122717530185,9401.153598730754,70.5994519223658,0.9253624350806557
NN_30,Ridge,test,smax,0.9618989987361494,3.9923481518522075,45.21992788198608,6.724576409112033,1.439943938784863
NN_30,Ridge,test,area,0.9893961296082385,177.82989246678395,37016.498973336034,192.3967228757705,1.1944883700455382
NN_30,Ridge,test,mean_over_outputs,0.975647564172194,90.91112030931808,18530.85945060901,99.56064964244128,1.3172161544152006
NN_30,GPR_sklearn,train,smax,1.0,6.228072872242289e-09,6.218653960428465e-17,7.885844254376614e-09,2.683649979079029e-09
NN_30,GPR_sklearn,train,area,1.0,1.2151084926396531e-06,2.3524937515132917e-12,1.5337841280679925e-06,8.489375056391405e-09
NN_30,GPR_sklearn,train,mean_over_outputs,1.0,6.106682827559478e-07,1.1762779690264481e-12,7.708349861611845e-07,5.586512517735217e-09
NN_30,GPR_sklearn,test,smax,0.9890973265907929,2.7710116141664876,12.939767694581741,3.597188860010236,1.0897431537974285
NN_30,GPR_sklearn,test,area,0.9999220852415113,13.664777570760938,271.98857313897815,16.492076071222147,0.09183483655885223
NN_30,GPR_sklearn,test,mean_over_outputs,0.9945097059161521,8.217894592463713,142.46417041677995,10.044632465616191,0.5907889951781403
NN_30,GradientBoosting,train,smax,0.9999998125324498,0.008270724626344853,0.00011027436257807666,0.010501160058682882,0.003718484926393998
NN_30,GradientBoosting,train,area,0.9999999982612906,0.0731940293143604,0.008150262054928558,0.09027880180268544,0.000526446735168049
NN_30,GradientBoosting,train,mean_over_outputs,0.9999999053968702,0.04073237697035263,0.004130268208753318,0.05038998093068416,0.0021224658307810234
NN_30,GradientBoosting,test,smax,0.8864320363489784,9.471984557331595,134.78740599071057,11.609797844523847,3.6347118670776224
NN_30,GradientBoosting,test,area,0.9701580909109656,282.64878787559184,104173.56647577112,322.75930114525147,1.9202600465633564
NN_30,GradientBoosting,test,mean_over_outputs,0.928295063629972,146.06038621646172,52154.17694088091,167.18454949488765,2.7774859568204895
NN_30,RandomForest,train,smax,0.9537612373477939,3.797284273611311,27.199107644883345,5.215276372818927,1.6686995080875349
NN_30,RandomForest,train,area,0.9810716750382591,243.90071222222642,88727.19520231792,297.87110501409484,1.795938862144694
NN_30,RandomForest,train,mean_over_outputs,0.9674164561930265,123.84899824791887,44377.197154981404,151.5431906934569,1.7323191851161144
NN_30,RandomForest,test,smax,0.7566932820986144,14.470146688888681,288.76701062294995,16.993145989573264,5.611234130555206
NN_30,RandomForest,test,area,0.9081812895394171,381.581014444451,320525.155054502,566.1494105397461,2.391717741846168
NN_30,RandomForest,test,mean_over_outputs,0.8324372858190158,198.02558056666984,160406.96103256248,291.57127826465967,4.001475936200687
