a,b,lx,ly,smax,area
13.522362630149892,16.99346616806489,128.89460855019774,108.98235107384758,267.97747,13866.759
10.538573207886296,21.863135906496293,110.09721897364186,134.3041805826424,201.72872,14605.556
11.296199752765885,19.283354137158597,113.01596872769778,115.28322795919506,224.16469,12857.763
14.257914964310316,17.077576038233648,126.83397069824196,133.7962749623337,273.19466,16778.676
11.976781202046748,16.350037847507433,134.67758641934265,124.66538874040572,251.32677,16635.836
14.928672204404705,16.207922889324227,106.53046778171795,126.81313680002147,293.48221,13319.426
12.691897667129666,19.303385471142086,137.63651536401076,102.63932298604641,240.51295,13934.499
12.806984606878183,20.077752456616384,127.61922835536188,110.2553813294356,236.75714,13868.753
10.291780323722323,22.96772843369895,100.55351737795772,103.8440033699401,198.61078,10256.228
9.24210537506559,22.036018799483674,118.82204980303683,137.34426058581025,187.83031,16159.573
14.211293341414969,22.37622887879767,102.06243988479648,125.99738346786681,238.11595,12609.848
9.837645100753466,24.351300890361653,114.67451610251553,134.46365735814362,185.93503,15231.405
10.217769864255484,18.852407759666363,135.9215998422598,130.3355012790379,212.16813,17564.119
12.107372220552904,21.450134272219447,131.10384200951935,116.91010427663943,220.50845,15123.392
11.157964023563302,23.099930685105846,118.59051127823489,130.73207421593526,202.81722,15301.149
10.699818625671531,15.171673473026232,125.96470406128893,109.91121207705184,245.79896,13717.436
13.29035619097862,23.284886421563574,121.06577248325078,112.32518223588607,225.08757,13355.682
11.027458416384048,17.18006644677523,110.6723455207581,118.29319248008306,234.07351,12942.989
9.168481247323903,20.78131403943359,101.98929141469186,128.86009289707903,192.94424,12992.705
10.413983784779798,15.951936788192063,111.4154786944395,132.86288784916908,233.97698,14672.509
10.771162252785158,20.238293891424867,125.46901329399961,100.17710461993083,214.3096,12397.914
8.57295014393872,15.635467690700102,122.78605020598746,116.62288414258727,212.49549,14214.387
14.69126197684013,18.64114158261562,124.20344584123859,132.11348415961507,265.71116,16193.859
15.148807669387574,19.605635296694246,108.82556066430786,120.57894818960048,266.35226,12888.807
14.736202310305957,21.61700729937229,113.89772532326506,106.52400776142937,250.99674,11882.652
9.301607483028267,22.532062975432368,139.2129215009998,131.04401326476608,186.47013,18078.413
14.490860404078994,18.20292025554523,139.79153180901127,122.2260488263675,267.42019,16878.997
8.290630427552804,22.7010951382683,103.13452715578556,108.26163878338687,178.78218,11017.696
14.969306089787512,23.64862599595301,104.63850835214441,128.78904907172338,238.57224,13198.26
9.858585153804933,20.668277347568818,126.10937650824145,123.96864390745462,200.16678,15473.576
13.154630213433876,16.83317194743989,101.01202482160036,114.19247630762177,265.63071,11360.899
13.877715017918675,18.587104470611127,116.0124069600881,117.60034356706082,258.71234,13440.508
11.808694946534914,15.412242428983864,120.11941507061847,119.4403939063481,258.69644,14204.169
13.110389865785987,24.73741748193236,111.89398509298053,103.21477958528922,219.39534,11294.395
9.386171405820692,21.53012160297018,107.1393511202364,134.82348437929988,191.6318,14286.183
8.979688582721426,23.507709031663993,117.31766398474862,117.42927299304831,181.67498,13610.737
10.04349419749938,23.138427424060737,113.51544162638663,113.93226509215182,193.62376,12750.552
11.577485268539899,17.32819234878562,115.48113908764208,116.38941712831307,239.95675,13283.218
9.757623798240063,15.269316151248878,121.57400014026071,131.69280152443523,230.11658,15893.402
12.42238103265473,22.220780204066855,131.97105637324074,106.8307640946156,221.20696,13881.771
13.783945971444975,21.280780888134892,112.63782819523561,127.85680040080868,238.73274,14171.129
14.425340026181974,19.18168287602007,132.9840724222582,104.39393831367643,262.10982,13665.41
15.626008192230382,21.114669420554304,105.05788543271399,119.68599876454613,262.02444,12314.825
14.024811540581911,24.257254861775113,117.00466094665921,125.14547411592724,226.19957,14375.409
9.450841395613375,17.55486619969397,132.25267105920076,139.81896970596824,210.09391,18361.128
8.7425270152981,23.853667696997917,122.95488998369076,114.8490907636907,178.40349,13957.469
8.691335586947291,17.640194047790423,124.56222932816362,110.68013939178607,202.54275,13666.15
13.699202861016735,19.80201234225659,136.53959112386698,128.11047889047728,245.50161,17279.096
10.882529184383126,20.9953802581257,109.56584503165581,104.5300767623518,212.3356,11273.476
13.23655773546313,16.77056405366947,105.4512541058455,101.18165924235268,269.72999,10495.387
15.463302251815428,23.4037632078483,117.84904372783919,139.3647447700912,242.21752,16139.767
10.85621731928944,17.74090434707731,138.5237519635289,124.08860022451759,226.63475,17037.951
10.341711867325092,17.921661174111854,100.1347112702947,101.49985055514536,223.23971,10018.092
14.3340293291752,18.712810009471966,109.62608886040665,108.60328194299204,265.73844,11695.086
12.331624738245598,18.992710257695524,127.48788604387553,113.5838749092916,237.71638,14296.619
8.488974609895148,20.451167013265753,107.25631997433219,105.23990479303474,188.54828,11151.292
8.229677986502274,21.72972496013506,134.24295835598144,123.54434930843759,179.20007,16444.507
12.880348326125283,16.672820211685213,106.22873680277468,121.94539195319624,261.9027,12785.439
11.622764042823828,19.965384554741615,131.39185851275607,112.93471143313265,223.46663,14656.448
14.827413323412973,24.18391806706299,115.80497281698261,115.98696644601732,235.98693,13150.236
11.448027565588824,18.095458440497453,123.45437275379216,139.074593854416,230.68422,17006.666
11.109901107278448,15.079450428148629,110.93249395016969,120.08214252463591,251.88005,13189.433
15.96997021275688,20.505048399542982,120.72200720461689,121.34438749160552,268.22611,14391.748
15.593727399973012,15.859053377085438,137.57409112967895,135.62564689887657,302.65968,18464.345
13.399494821548018,16.18300461687141,123.8417476978044,126.52944226207114,271.32817,15499.318
11.37562710549964,22.6294304702445,126.66421796924215,107.35039603212961,208.85367,13395.274
15.365880150480333,24.014216648252514,108.00704316608198,114.46064323298096,243.40018,12072.744
11.887519980068136,16.563309149583983,128.77316368725891,122.89766957393448,248.48788,15671.279
9.964864903087108,24.861265626495864,119.66817946585279,118.74555510416852,186.50532,14015.491
9.066702894039093,19.754340586289167,105.66921962612864,111.61895043263671,197.32262,11654.017
15.746337816550337,23.37781226568707,125.00988070845503,132.59181436964644,245.75197,16286.17
8.45202550440182,24.99828451607275,136.01601298702678,125.3340395903898,171.62493,16881.493
14.136988368706739,21.960879479868826,133.7786017413934,107.61323039344533,240.35052,14152.512
8.873847886828521,16.40574897458711,132.69383049577243,126.2096276123678,210.62208,16632.899
15.072413984394931,18.430680248017683,103.47803185826423,122.46185279168175,275.13663,12453.932
13.965601966404275,15.532151019272327,114.27589405149493,105.7280092588063,290.94263,11911.797
13.639255288563668,19.401385884981238,121.62531097077772,119.14890231108109,249.8302,14283.69
12.241906163599882,16.052295996214326,134.87148343316198,133.5416928830819,256.41022,17856.627
14.57838088066988,21.072283335634612,116.58854830397381,138.04569407432038,246.70274,15853.273
12.073110795582975,15.38371818231431,103.91962456627688,131.5527803771833,261.72764,13525.044
8.325441722670424,15.706379112263031,101.52031555048632,138.57483309941233,208.33513,13965.46
13.021984092418268,21.39769194006883,135.45686381133862,112.52078956332645,230.70371,15022.87
13.470668800997661,19.527698829772064,138.21747705412503,109.34909574238053,247.27354,14907.356
