a,b,lx,ly,smax,area
9.102188749926253,16.720012180104334,120.08286387970273,103.99125011378432,213.54908,12368.038
10.531063574502467,20.111682743819255,101.52556583656843,136.3029472596187,209.88277,13671.889
12.959491963871255,22.75612364970602,118.81423777687365,109.90828958835961,224.73754,12827.05
11.376037270721433,17.056544849600293,137.63450088645024,126.33541067215492,237.46738,17235.716
14.452151166179753,15.077967540759849,128.5178509346384,124.19299283513331,297.57778,15789.871
12.210690939032277,18.19772701673197,136.75632023201942,123.50125414015761,239.90196,16715.056
13.712815363908032,22.23053705618716,127.14262990013637,121.11395425786327,232.87752,15159.323
15.227960110276353,18.86468652566923,112.7275963412408,117.925478005648,273.3243,13067.834
15.868120354832294,15.607075695051376,110.59064509887166,115.82799254372269,314.55614,12614.985
11.664273904122064,23.746383591742653,135.62136644393127,102.3496611513502,207.17033,13663.258
15.55027538159483,16.02240452027998,121.73795658102313,116.77463332287483,304.98242,14020.221
9.425026428105955,24.06264231949215,123.56299632041228,129.83217875848229,183.07486,15864.332
14.76339514733727,21.51502664432404,133.9802886848182,139.23692274712576,244.92201,18405.533
14.207782155915897,20.64241710470349,114.49840221831685,100.67167850468773,252.2074,11296.402
10.115380923725485,23.42116569087048,105.89519396684584,109.22614802497199,194.24295,11380.452
8.437673203387185,17.918738655424473,124.20326265337279,107.27372340057157,198.24836,13205.0
12.43129168562906,23.034516584345965,117.5277920801372,137.7390453170748,214.80261,15963.268
11.92084609412629,18.39131568126783,106.67712300149859,119.4950843762471,236.86336,12575.201
10.688045358979437,20.784250567902852,129.935055502214,106.38165714471202,209.78538,13648.236
8.083461971540917,24.684683776474888,115.97504312011314,130.93871882766135,169.45711,15028.907
13.301705699437013,24.622052203780456,100.31599388463343,128.47988911466274,218.26383,12631.358
10.934848963558675,21.705073964365955,108.6205321848837,113.27857031277371,208.60899,12117.971
8.575025082743377,22.386733659221353,139.4842595121183,110.69623199856414,180.94225,15289.612
15.18800646998874,16.488842075997884,111.69024670621552,133.31700289312818,292.35469,14693.52
10.364834397663161,15.737641314259417,116.09812539532247,104.69930624665882,237.31581,12027.281
13.45604915561685,19.60291484618541,131.23433036070728,127.23338449420206,244.43002,16490.217
12.591954101866754,19.766098616841443,102.68579562454522,114.21541886589941,237.17439,11532.82
9.741246054493523,19.29689927672173,125.98551088173028,122.52506111674722,205.34836,15288.747
14.090165105931835,21.266860795277086,104.67739217245736,135.36479367060664,241.43583,13934.286
8.834147033592904,17.609491737006167,132.19468085944334,134.03651125955747,202.78117,17596.733
